Store Name	GMV (USD)	Affiliate Video GMV(USD)	Self-Account Video GMV(USD)	Self-Account Live GMV(USD)	Self-Account Live AOV (Main Order)(USD)	Affiliate Live GMV(USD)	Shop Tab GMV(USD)
Unilever Beauty	1011455	269864	4343	126369	9	429271	246156
Cocoon Vietnam	786679	243804	4342	175115	10	162006	245570
Lubylab Official Mall	768514	1954	0	0	0	745120	76283
Unilever - Chăm Sóc Cá Nhân	593765	190578	825	61205	9	262493	128910
P&G Beauty Việt Nam - eMesa	585910	68420	1522	171266	20	256577	129655
CeraVe Việt Nam	563077	153038	6920	145314	13	65538	204605
L'oreal Paris Việt Nam	542708	144140	7739	152141	13	127179	141064
COLORKEY LUMINOUS VIỆT NAM	515624	256556	3935	123775	12	49218	131761
Obagi Vietnam	491964	33457	2422	104941	69	254948	104523
COLORKEY COSMETICS VIỆT NAM	490860	223010	14520	123902	12	70717	99016
Carslan.VN	476694	112567	189	56871	14	251570	115559
La Roche-Posay Việt Nam	390357	72184	4282	124739	20	85928	99272
Kiehl's Việt Nam	384625	27019	1712	128425	45	154943	77266
Hasaki Vietnam Official	333843	47569	3971	6159	7	48870	182675
LUCENBASE COSMETIC.VN	315397	70712	0	7941	6	218712	38744
Blemil Việt Nam	254306	3063	0	0	0	240246	25417
DrCeutics Official Store	250006	106851	774	14770	6	83224	60572
KAO VIETNAM	230335	138000	281	16614	6	44229	45198
Flower Knows V N	229318	93192	0	2485	34	77012	88465
URMINE VN STORE	228661	7774	166	96182	150	41071	38945
THORAKAO STORE	227208	130125	662	11307	6	44838	40614
Paula's Choice Việt Nam	221593	26906	2666	68782	32	59169	58441
Kans Official Vietnam	221157	61811	735	62924	21	75307	34913
AZTK VN	209998	131674	2610	0	0	53577	31709
d'Alba piedmont VN	208492	28611	1306	36934	22	93110	46737
Geek&Gorgeous Vietnam	208389	34050	6173	12529	18	123705	35506
Socus Sea VN	208164	162657	0	7383	5	2748	43489
Maybelline New York	205603	83946	3471	38610	8	42754	57057
Mooekiss Việt Nam	202931	34980	209	4086	17	147427	33192
Murad.vietnam	201654	1936	1595	54501	103	22630	99696
Judydoll Vietnam	198447	71027	1797	38758	9	52840	50377
SammiShop Offical	197567	41229	994	8978	10	105250	51581
3CE STYLENANDA VIETNAM	193220	54860	2483	50552	12	28625	61368
lixibox vietnam	188314	20007	2975	35661	76	39862	80694
Blanc Perfume	184937	55568	0	0	0	99041	45268
FOCALLURE SHOP	182783	91304	1879	14450	7	37589	55328
HannahOlala	182323	717	0	0	0	174381	30404
Cỏ Mềm	180626	51348	1918	68264	11	1617	55270
YSL Beauty Vietnam	178532	7932	682	99322	94	8746	53892
LUNYS STORE	177068	101521	1268	29915	7	20356	29647
Lancome Vietnam	164804	9393	1338	60372	103	49335	40733
Cây Rơm	164646	9371	1668	38690	35	85609	29961
Wipro Việt Nam	164410	7573	0	0	0	151373	27715
LILYSTAR-VN	162582	128566	881	17145	3	338	31203
Thơm Dai Shop	162592	0	0	0	0	160515	10208
saothaiduongpharma	158731	104695	381	20495	7	513	35760
Huyền Mi Aurora	157246	668	0	0	0	151736	14764
NIVEA Việt Nam	156113	53980	262	19786	7	52636	39791
PURITÉ - ÔLIV	155286	40208	650	2073	7	83449	40678
Sắc Ngọc Khang	154537	65732	1084	39514	15	10267	38363
Dunté Perfume 69	153479	151760	0	0	0	1229	4143
The Cafuné	152152	65997	225	15818	8	38624	47139
Tú Beauté	151397	0	0	0	0	145141	26353
Dược Phẩm Hoa Linh	150998	32701	1965	16420	9	31174	68365
SmileeExtra & Flossie	150203	29605	834	85247	25	0	36221
JMCY Cosmetics VN	143742	58950	92	1601	2	65846	25676
Colgate - Palmolive VN	141596	18695	991	21882	8	68674	39108
COLORKEY VIỆT NAM	140738	93443	0	18502	9	13921	21654
Kotex Vietnam	140461	28921	63	22206	9	70425	28801
L'Oréal Professionnel Việt Nam	137486	21000	14	27639	33	62210	27361
Anessa Official Store	135299	10170	780	38664	18	63248	27813
Hyamin Việt Nam	134353	48645	481	59302	6	2755	26499
COLORKEY ROSÉ VIỆT NAM	133900	101064	137	15312	7	446	22224
AHC Vietnam	133894	6341	540	21448	25	92717	21916
NƯỚC HOA PHẠM NHI	130800	11288	22885	74622	7	566	22982
ROHTO SKINCARE	129963	39156	4638	9948	5	31410	46267
Garnier Vietnam	129544	43105	3406	31349	6	24166	38344
MISTINE BWG VIETNAM	123595	80838	72	12179	6	14560	23253
KOAI VN	122004	88743	84	10945	5	1429	21910
Mooekiss VN	121327	11352	1260	7568	7	94001	18126
Yomani Mall Vietnam	120997	83230	67	11865	7	12146	18737
Estée Lauder Vietnam	119020	3723	319	57215	93	26835	28298
NUOC HOA CHARME VINH HIEN	116773	8527	24645	55093	6	6692	24025
EGAO.VN	115846	34	0	0	0	115421	9184
VNThaiFruitShop	113222	74119	0	0	0	0	27015
Dao Company	112470	42672	19218	25663	8	1098	23885
kingbabyvn	111730	94486	68	5621	3	2399	17071
OBAXUA	111715	77725	51	0	0	14874	24320
Jasmeen White & Fresh	110776	80967	250	4021	4	6548	17467
AVATAR 012	109317	72154	42	9808	4	13889	26758
KIMXUYẾN Authentic	108436	28577	9130	11758	7	15321	42120
Q.P Cosmétique	106677	28839	68	5682	3	56890	23335
TRESemmé Vietnam	106278	16952	430	15007	10	59612	18267
Make P:rem	103804	5850	236	24997	11	64768	24110
Dunté Perfume Store	103347	91378	8594	0	0	2323	6650
Florasis Hoa Tây Tử	103044	48427	4337	31039	30	66	26787
Hella Beauty Vietnam	101633	9200	9989	52288	9	10898	23755
CNP Laboratory VN	101212	4004	58	15354	24	71203	14555
Lanbena.vn	99638	27921	351	32389	5	22072	20114
Eucerin Việt Nam	99557	23260	882	34585	19	11910	29195
Narciso Vietnam	99336	2737	0	0	0	78478	20135
Mỹ Phẩm Tóc Xinh HN	98977	2476	145	266	11	91961	9939
Cheeryep Vietnam	98081	12644	379	22810	14	53181	17502
KALABO LUXE	97674	752	0	258	4	95095	2696
XMEN GIAN HÀNG CHÍNH HÃNG	96829	41278	409	1727	6	27681	32399
Tú Beauté - Dược Mỹ Phẩm	94779	701	60	11346	57	68942	16897
Torriden VN	94731	18265	1239	20392	15	37387	23403
Lab On Hair Việt Nam	93809	43737	282	30605	7	165	25310
MENOW Mall	92319	18755	647	5495	8	58860	22736
YooHee	92198	2301	674	7142	18	75113	15389
MISTINE BWG VN	91391	54254	278	9722	7	14468	16857
MTN COSMETICS	91305	79222	0	0	0	1793	17244
The Starlens Contact Lens	91058	63380	1999	7020	6	191	23365
