Store Name	GMV (USD)	Affiliate Video GMV(USD)	Self-Account Video GMV(USD)	Self-Account Live GMV(USD)	Self-Account Live AOV (Main Order)(USD)	Affiliate Live GMV(USD)	Shop Tab GMV(USD)
COLORKEY LUMINOUS VIỆT NAM	786565	216672	3657	59531	11	438949	137396
Cocoon Vietnam	482983	182920	3783	81391	10	76960	150630
Unilever - Chăm Sóc Cá Nhân	467207	156021	678	66807	9	184828	81676
Unilever Beauty	407421	163831	3387	67250	8	89568	92358
P&G Beauty Việt Nam - eMesa	392453	72735	982	96163	19	160670	85529
Lubylab Official Mall	381764	1861	0	0	0	361406	28848
CeraVe Việt Nam	313223	79829	6005	87550	13	45275	92282
L'oreal Paris Việt Nam	306690	84382	5488	84377	13	53367	90094
COLORKEY COSMETICS VIỆT NAM	303770	145623	9314	64617	11	41802	64874
Hasaki Vietnam Official	280400	41840	5580	3824	7	31630	151704
KOAI VN	258549	208860	78	19714	4	1637	30920
Judydoll Vietnam	222855	118205	2922	49933	9	9793	54007
Dr.G Việt Nam	216534	19845	1483	64069	15	100388	30210
Carslan.VN	216383	96011	85	38969	14	38642	68187
Blemil Việt Nam	211168	541	0	0	0	206147	13012
DrCeutics Official Store	207034	128540	770	2972	7	37288	48033
La Roche-Posay Việt Nam	203329	44131	3163	73180	20	21389	52652
Maybelline New York	169732	65498	2607	41868	7	35395	42191
THORAKAO STORE	163802	100992	434	6722	6	23468	29455
LUNYS STORE	155775	93581	1943	25828	8	11174	26517
Dunté Perfume Store	151973	131008	13790	0	0	4920	9299
3CE STYLENANDA VIETNAM	151369	51820	2171	30626	12	20010	48498
saothaiduongpharma	151167	104908	436	15778	7	397	27962
KAO VIETNAM	148422	95571	239	13349	6	17041	30075
lixibox vietnam	143759	20618	3024	27768	79	22874	60328
Socus Sea VN	142395	110722	0	5769	5	2194	28985
Dunté Perfume 69	141390	136081	0	0	0	4270	4026
The Cafuné	135415	59981	249	12710	8	37143	38458
COLORKEY VIỆT NAM	132347	91803	0	10990	8	14337	18274
Flower Knows V N	129774	69445	0	3634	39	15483	63812
AZTK VN	123380	90122	3217	0	0	14330	18461
Sắc Ngọc Khang	119284	56714	1478	20979	14	6919	32296
Huyền Mi Aurora	115578	672	0	0	0	111171	8924
LUCENBASE COSMETIC.VN	115318	67976	0	5340	6	25222	18327
YSL Beauty Vietnam	113600	5249	1018	49836	82	4870	36302
Hyamin Việt Nam	112435	46234	444	46120	6	2054	19784
Perfume Dunté	109760	104088	1156	0	0	2714	6007
Kans Official Vietnam	108631	46324	418	39818	22	8597	18729
SammiShop Offical	108479	28465	576	5169	10	45211	29511
Yomani Mall Vietnam	108454	65464	39	8803	7	21884	15151
SmileeExtra & Flossie	106399	16345	1340	65629	26	0	24737
Cây Rơm	105191	6289	604	37950	34	39382	18878
Cỏ Mềm	105063	31901	1073	33086	12	1632	31589
FOCALLURE SHOP	103701	58511	986	10915	7	4728	37628
Paula's Choice Việt Nam	101667	17265	3387	37967	32	9078	27671
Blanc Perfume	101379	40512	0	0	0	35317	34692
AVATAR 012	99558	72106	68	8238	4	8159	21542
Obagi Vietnam	98273	8534	2184	38363	66	11546	31111
OBAXUA	97455	69466	23	0	0	11298	21125
COLORKEY ROSÉ VIỆT NAM	95410	73185	65	8492	7	594	16821
Dao Company	94978	36397	19131	18945	8	1132	19088
Fanmen Vietnam	93809	80667	3336	415	6	2436	13781
JMCY Cosmetics VN	91639	55125	94	24	3	20877	17331
Dược Phẩm Hoa Linh	91569	27959	2098	10844	8	16959	35343
MTN COSMETICS	90730	78263	0	0	0	583	17037
PURITÉ - ÔLIV	86480	48525	550	1654	7	10033	27961
NƯỚC HOA PHẠM NHI	86343	12517	11982	47619	6	107	13572
XMEN GIAN HÀNG CHÍNH HÃNG	85643	53759	312	692	6	11141	23443
KIMXUYẾN Authentic	85247	23550	7123	7911	7	12386	33310
kingbabyvn	84207	68456	9	4045	3	3826	13237
Charme Perfume VN	83657	74	0	173	3	82988	1199
Jasmeen White & Fresh	81517	63400	511	3038	4	1841	11042
Sellion VN	81517	68724	7	30	7	4207	12818
d'Alba piedmont VN	80465	12134	1094	23878	24	14220	23366
URMINE VN STORE	79862	3236	529	42293	155	16836	19484
Garnier Vietnam	78591	28766	3072	18782	7	10478	24513
NUOC HOA CHARME VINH HIEN	78061	5589	18442	30054	7	7119	17290
Chenglovehair	77896	43804	1842	9041	5	236	29704
Jasmeen.VN	77412	35407	0	4	4	26326	16922
The Starlens Contact Lens	77042	54804	2175	4489	6	281	18175
MAKE SENSE	76143	58151	48	6	6	11546	10830
Santalwisp-VN	74973	65937	0	0	0	45	5180
MILAI Vietnam	74875	57557	117	4965	2	222	13551
Lanbena.vn	73108	26296	184	30288	5	2586	15094
Cottonday SEA	72636	62492	0	2549	3	820	7088
iCare Pharma	71841	28665	1726	20011	14	340	19372
ROUNI NAILS	71661	50762	1125	3124	4	2135	18661
Ulike Việt Nam Store	71359	3328	250	2570	184	0	5948
NIVEA Việt Nam	71146	38207	234	7170	7	7325	21805
Geek&Gorgeous Vietnam	71001	21539	6999	8775	17	7047	17870
Kotex Vietnam	70431	28110	132	8528	8	21545	13775
GMEELAN Beauty Store	69954	22004	231	18249	5	18	10302
OSITREE VN	69734	29230	92	9277	6	21969	13537
Florasis Hoa Tây Tử	69509	35555	2484	18581	31	61	17555
Lab On Hair Việt Nam	68978	33326	154	21402	7	126	18009
KEYSHU VIỆT NAM	68878	29826	1763	15879	14	3462	16730
LILYSTAR-VN	68735	50221	424	8264	3	276	17001
ROHTO SKINCARE	68229	22649	4555	4042	5	4078	27308
YooHee	67606	1485	824	16974	17	45361	9025
Enchen.vn	66432	41903	337	6717	11	3402	18392
Dr.Pong Vietnam	65960	36478	3224	7392	9	2322	17547
QUSTERE VN	65208	53101	67	105	6	731	13245
MISTINE BWG VIETNAM	65021	36765	50	9653	6	4235	17570
Censto Vietnam	64771	16022	2448	13954	8	79	4643
HappySkin Vietnam	64545	45971	0	544	6	9628	8548
moodyofficialstore	63963	22880	1762	3029	6	26391	10962
H2C shop	63132	21917	4922	13637	42	2748	18528
ROCKSWEET-VN	62163	44451	64	4749	6	3415	9850
Estée Lauder Vietnam	61639	3485	1002	34085	93	7431	12933
Youthology Bodycare	60997	46924	31	4650	7	112	11889
LumineeBeautyVN	60662	39101	6	0	0	14972	10828
Teashell VN	60626	30630	20	3603	3	1441	12019
baehair store	60101	27699	1950	18591	8	601	12325
VNThaiFruitShop	59963	47016	0	0	0	0	10946
ICE LERSKIN.VN	59358	47183	679	1817	5	84	12588
Azderma	59030	33611	112	13098	8	200	12684
Rhys Man	58710	17164	348	17293	11	4703	21412
Magister.vn	58503	35837	24	9309	3	56	19078
ARMAFVIETNAM	58350	15583	138	10434	32	21994	11025
MISTINE BWG VN	58225	31948	306	6210	7	9874	11634
Make P:rem	57399	5146	86	15549	11	32087	11765
Thanh To Cosmetic	56827	34148	3415	8491	9	791	8799
Hachi Việt Nam	56663	10420	809	23917	8	12114	13014
MENOW Mall	56663	15776	284	3847	8	29937	15237
BESKIN VIET NAM.	56488	9565	34	21	21	30193	12818
greenmakes-VN	55912	46930	6	0	0	776	10119
FANEYES SHOP1	55643	34756	0	899	2	7599	16877
Camioré	55544	22327	15233	5127	7	1028	12237
ELVIE STORE	54989	44642	45	3394	6	1567	4997
UILICY-Official	54541	34743	61	13713	6	570	7050
Nhà thuốc Nhân Dân số 1	54504	46160	0	0	0	1897	5589
Oniiz.Store	53652	23784	984	8184	7	50	21277
Hexze Việt Nam	53469	32000	1768	6579	7	3942	17800
Caryophy Vietnam	52915	21279	73	11790	12	1755	18144
Rucos.Vietnam	51989	41823	208	0	0	351	8436
Ollie Việt Nam	51955	15640	51	7622	6	12775	15253
Nhà Máy SX Ghế Massage KingEdo	51002	37137	0	1007	15	3642	10687
Hella Beauty Vietnam	50985	5691	5623	25919	9	3592	12598
Men Stay Simplicity	50889	26521	2206	6238	9	12	19456
EGUOO VIỆT NAM	50553	25935	135	11322	7	213	6903
MANY COLORS	50437	29853	6028	4549	7	3702	7862
GlowCode Việt Nam	50431	34891	7	8685	4	48	10341
Nezha VN	50354	28568	46	3659	3	11885	8517
MTN Personal Care	49772	46802	0	0	0	82	4953
The Originote Việt Nam	49759	30824	598	10547	6	25	12440
Salonkey	49460	34003	187	2539	6	2632	12444
Mooekiss VN	48625	6822	1153	9927	7	25043	8594
Cỏ Cây Hoa Lá Vietnam	48352	11764	3646	17604	14	30	11859
Brigie Vietnam	48326	39363	130	2487	9	250	5743
Y&W STORE.VN	48226	38622	5	513	1	3973	9770
Five Grains Live	47976	19671	0	0	0	15907	13373
Nam Nung Việt Nam	47934	5703	881	29069	19	30	10841
Heart Moon	47723	42851	0	0	0	290	5308
RETOLAB	47619	21412	80	14187	7	81	9420
PINKTWO-VN	46149	35703	129	2435	4	176	10719
Simple Skincare Đơn Giản	45832	21151	659	6847	6	1232	15598
Torriden VN	45788	12107	1167	10512	15	8887	14478
Anessa Official Store	45779	5030	479	22620	18	6342	11870
Huyền Tôm Kem Nám 1988 Uy Tín2	45724	0	685	40104	11	0	6586
ULucky Vietnam	45271	29632	814	4879	47	3379	16443
Võ Trúc Ly	44700	18076	12000	2580	9	416	11143
YEARNDIARY	44567	39099	0	1776	5	2	6307
Tina Beauty Mỹ Phẩm Chính Hãng	44496	10671	482	0	0	12060	20635
eHerb Viet Nam	44119	31670	251	0	0	219	13526
Lê Vân Anh Cosmetics	44042	913	3958	27539	43	0	8824
MIlai Nhật ký	43849	34709	14	3650	3	44	6420
Cavaillès Vietnam Official	43772	8593	231	24742	12	2663	8361
KUCO-pro	43767	37551	5	1869	4	1242	5790
HaKiHa Store	43746	3812	2181	21516	13	10254	7002
Nguyen Dat Cosmetics	43730	15648	8184	2411	6	6245	10732
Kwang Cosmetics	43244	3898	52	0	0	26934	15759
Dr.flash-VN	42945	18866	372	13848	15	153	13689
Queen Danzern Office Store	42667	35718	2	9	9	1566	7259
Cửa hàng hàng đầu của VK	42416	35546	18	2154	2	1160	5116
Phương Lan Phạm Suri	42416	3360	13092	17187	4	686	8620
Romand Vietnam	42321	16599	875	6779	8	1267	17792
Brushie Mall	42218	6819	1096	21649	23	0	12880
Sao Thái Dương Miền Nam	41817	34538	5	0	0	763	7944
SUM SPACE	41460	2782	23	4803	13	30136	4809
SalonkeyPro	41200	37023	6	0	0	69	4603
SEVENLAB VIETNAM	41170	17673	6226	5525	14	0	11404
MISECR Vietnam	41094	27544	46	1718	5	725	11794
Grace and Glow Việt Nam	41094	19018	62	9781	5	340	13262
NhyNhyShop	40724	25840	519	0	0	8490	9293
Home Center-03	40675	29635	0	0	0	248	12316
Kiehl's Việt Nam	40439	5528	913	18452	39	1518	10885
Kilala Lens Vietnam	40230	22994	431	8023	5	15	9012
UODO Cosmetics	40079	8092	97	2413	9	25068	9518
Cottonday Store	40062	33774	5	1045	3	192	5196
Mlen Diary	40020	25031	585	6175	4	217	8808
NovofemiStore	39772	31307	12	659	8	2335	5980
Sea Makeup Việt Nam	39584	15301	27	13595	6	3237	10448
Mỹ Phẩm Tóc Xinh HN	39487	2278	142	243	14	33613	4187
CHARMIX-beauty	39313	36397	0	0	0	103	3915
PRAMY STORE	39086	25687	226	6611	8	39	6860
SIVANNA COLORS Vietnam	38820	30728	0	0	0	4655	6252
Q.P Cosmétique	38714	22194	113	2317	3	2908	14504
ZUNHU-VN-01	38482	37507	9	0	0	12	1125
Thomi Vietnam	38406	6578	45	2682	33	11259	15938
Guardian Store	38325	6	868	1818	5	166	25863
Trioderma	38068	23380	196	5018	9	313	9523
CTY TẤN YẾN-ĐẠI LÍ CHÍNH THỨC	37972	7972	504	0	0	19400	13710
SVR Việt Nam	37947	8162	313	11643	16	4473	12359
EUPC STORE	37656	24314	383	5562	8	452	5885
Nuty Cosmetics	37565	10746	378	4433	11	1318	18771
KINGSMAN VIET NAM	37555	28970	10	0	0	634	9116
Ngọc Quí Daily	37464	233	241	35205	10	63	4547
Murad.vietnam	37457	1596	523	17833	106	2679	13927
S:kin Heritage Việt Nam	37271	14812	111	5981	5	10933	7784
Tuyển chọn Long Châu	37062	34751	0	0	0	187	2467
